AudioLDM Single GPU 1 epoch

FIT Profiler Report
Profile stats for: records
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg   # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                              aten::div         1.39%       22.896s         1.44%       23.751s     275.375us        1.177s         0.16%        1.882s      21.819us         86250
autograd::engine::evaluate_function: NativeGroupNorm...         0.12%        2.039s         1.43%       23.688s     280.741us       0.000us         0.00%       15.794s     187.187us         84375
                               NativeGroupNormBackward0         0.06%     923.699ms         1.27%       20.978s     248.624us       0.000us         0.00%       14.454s     171.312us         84375
                                aten::cudnn_convolution         0.81%       13.362s         1.22%       20.066s     128.940us      186.066s        25.05%      202.212s       1.299ms        155625
                       aten::native_group_norm_backward         0.56%        9.170s         1.13%       18.646s     220.984us        6.398s         0.86%       12.922s     153.147us         84375
                                              aten::mul         1.01%       16.671s         1.07%       17.625s     282.867us       37.530s         5.05%       38.065s     610.889us         62310
                                       aten::group_norm         0.04%     683.675ms         0.96%       15.903s     128.512us       0.000us         0.00%       38.772s     313.311us        123750
                                aten::native_group_norm         0.45%        7.384s         0.91%       15.038s     121.522us       32.739s         4.41%       38.592s     311.851us        123750
                                              aten::sub         0.88%       14.542s         0.90%       14.939s     419.352us      13.569ms         0.00%      35.966ms       1.010us         35625
                                            aten::empty         0.86%       14.140s         0.87%       14.326s       7.897us       0.000us         0.00%        2.168s       1.195us       1813992
    autograd::engine::evaluate_function: AddmmBackward0         0.10%        1.617s         0.76%       12.546s     215.853us       0.000us         0.00%       11.448s     196.948us         58125
                                           aten::linear         0.03%     482.653ms         0.63%       10.446s     123.800us       0.000us         0.00%       19.167s     227.166us         84375
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
Self CPU time total: 1651.127s
Self CUDA time total: 742.746s
